Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",154,665,559,155,85,25,0,45,109,114,94,12,170,6,4,2,,11,3,0.277421,0.140812,0.255619,0.550866,0.383698,0.565323,0.400538,0.949021,0.287902,3.56255,0.315322,0.2144,0.131315,124.037,47.9653,166.474,0.345715,7.07307,50.110233813524246,0.4480733871459961,7.52905,3.950000047683716,,,,"15640"
"Juan Soto","SDP",154,665,518,143,85,25,2,31,109,88,138,11,97,4,4,2,,10,3,0.276101,0.207063,0.145529,1.42283,0.428954,0.510036,0.404338,0.93899,0.233935,4.04229,0.284966,-0.393882,-0.354873,126.045,49.9732,167.519,-0.748755,-1.28002,51.43867290019989,-9.90501594543457,6.70683,10.979999542236328,,,,"20123"
"Mike Trout","LAA",152,658,554,146,73,29,2,42,105,97,88,11,174,10,4,2,,4,1,0.263919,0.133766,0.264565,0.505606,0.371664,0.551818,0.389932,0.923482,0.287899,3.96707,0.304841,0.249645,-0.119701,117.187,41.9167,156.372,0.129944,-3.29407,41.88734036684036,-1.5440722703933716,6.43313,20.899999618530273,,,,"10155"
"Yordan Alvarez","HOU",139,602,518,150,78,32,2,37,94,111,73,8,125,7,4,0,,1,1,0.288789,0.12059,0.20767,0.580681,0.380421,0.573723,0.403322,0.954144,0.284934,2.85688,0.312577,0.148311,-0.703555,113.617,44.7527,168.235,-0.555244,0.682343,45.68852639198303,-8.767656803131104,5.8868,9.779999732971191,,,,"19556"
"Mookie Betts","LAD",154,665,580,156,88,34,3,30,111,89,69,1,105,8,5,3,,15,4,0.269037,0.104471,0.158253,0.660156,0.352764,0.496007,0.366042,0.84877,0.226969,5.648,0.279693,0.988146,0.802854,105.813,29.7413,139.264,1.791,8.11331,32.139689564704895,1.0883088111877441,5.83477,11.390000343322754,,,,"13611"
"Nolan Arenado","STL",156,672,606,164,97,37,1,29,81,103,55,4,85,6,5,0,,5,2,0.270923,0.0816561,0.127183,0.642034,0.335598,0.48018,0.350572,0.815778,0.209256,3.07715,0.272236,0.229133,-0.5972,98.6678,21.7957,130.468,-0.368068,6.96549,23.42948642373085,8.765485644340515,5.751,34.83000183105469,,,,"9777"
"Trea Turner","PHI",156,672,614,179,118,35,4,22,98,81,47,1,119,5,4,3,,28,5,0.291929,0.0697261,0.177195,0.393498,0.344641,0.470711,0.352714,0.815352,0.178782,6.36812,0.328892,1.23414,2.80081,99.8112,22.9392,127.032,4.03495,-0.0937104,25.14861011505127,6.856289424002171,5.73104,2.319999933242798,,,,"16252"
"Julio Rodríguez","SEA",149,644,580,157,96,28,3,30,95,89,51,4,157,9,3,3,,29,8,0.271622,0.0785157,0.243088,0.322992,0.337672,0.485354,0.354072,0.823026,0.213732,6.04658,0.322149,0.453733,1.78237,96.347,22.6779,137.699,2.2361,1.58535,29.567204236984253,3.885348916053772,5.66288,3.9800000190734863,,,,"23697"
"Alex Bregman","HOU",154,665,559,149,88,36,1,25,92,96,90,2,83,10,6,0,,2,1,0.267345,0.134868,0.124748,1.08112,0.374207,0.467858,0.366768,0.842065,0.200513,2.63608,0.272378,-0.430196,-0.726055,106.196,30.1247,142.44,-1.15625,-0.07417,30.615580797195435,1.900830015540123,5.63472,78.12000274658203,,,,"17678"
"José Ramírez","CLE",151,651,569,152,81,37,4,30,92,103,70,14,86,6,6,0,,22,6,0.26676,0.10704,0.131521,0.813867,0.350141,0.502066,0.35988,0.852207,0.235306,5.77251,0.26557,1.1199,1.52106,100.398,25.9283,136.839,2.64096,2.49888,29.639404773712158,3.223876118659973,5.62439,3.390000104904175,,,,"13510"
"Ronald Acuña Jr.","ATL",147,637,545,148,88,28,1,30,106,81,75,4,147,11,4,3,,35,11,0.271627,0.117475,0.230987,0.50858,0.368603,0.493841,0.372372,0.862444,0.222214,5.83428,0.317454,1.71592,2.17909,104.561,31.6926,139.472,3.89501,3.44598,33.119494915008545,-2.7790191173553467,5.43281,2.200000047683716,,,,"18401"
"Francisco Lindor","NYM",156,672,598,151,95,27,3,25,88,89,59,3,122,8,5,2,,15,5,0.251826,0.0878842,0.181546,0.484087,0.324378,0.434313,0.329395,0.758691,0.182487,5.007,0.275003,-0.134826,0.136017,87.362,10.4899,118.453,0.00119137,6.35906,14.414540526107885,13.559058666229248,5.30777,32.97999954223633,,,,"12916"
"Carlos Correa","MIN",144,623,547,149,94,30,1,24,82,79,65,2,121,5,5,2,,1,1,0.273389,0.104615,0.19451,0.537839,0.352844,0.464445,0.354661,0.817289,0.191056,2.2643,0.308602,-0.160004,-0.860167,93.4967,22.2298,134.718,-1.02017,2.68521,23.3289555311203,7.110208988189697,5.27637,124.45999908447266,,,,"14162"
"Kyle Tucker","HOU",152,658,587,161,90,35,3,33,93,112,62,4,109,3,4,1,,24,5,0.274169,0.0946456,0.165301,0.572564,0.344117,0.514474,0.366746,0.858591,0.240305,5.61359,0.283757,0.173976,2.20344,105.067,29.7962,142.424,2.37741,2.49144,33.80343985557556,-4.658559560775757,5.25734,5.800000190734863,,,,"18345"
"Adley Rutschman","BAL",138,555,473,122,70,34,1,17,77,61,70,0,95,7,4,2,,4,1,0.256917,0.125593,0.170216,0.737845,0.357439,0.441803,0.350586,0.799242,0.184886,3.60536,0.285555,0.802725,-0.339299,81.5539,18.0201,130.684,0.463427,1.80935,19.64863032102585,6.734350919723511,5.23129,66.66000366210938,,,,"26288"
"Wander Franco","TBR",144,623,564,159,101,35,7,16,85,75,49,1,67,4,4,2,,12,4,0.28233,0.0791184,0.107874,0.733434,0.341459,0.453936,0.344418,0.795395,0.171606,5.72621,0.295427,0.796614,0.122169,88.4275,17.1607,131.145,0.918783,0.727571,22.762168288230896,6.6525707840919495,5.1688,89.33999633789062,,,,"23667"
"Manny Machado","SDP",156,672,597,159,98,30,1,30,91,100,66,9,126,3,6,1,,10,3,0.26644,0.0983284,0.187758,0.523696,0.339359,0.471106,0.34661,0.810466,0.204667,3.99304,0.289072,-0.0926376,0.0856603,96.5523,19.6803,128.061,-0.00697724,1.1141,21.9108217516914,2.9140987396240234,4.97717,14.949999809265137,,,,"11493"
"Austin Riley","ATL",156,672,599,164,93,33,2,36,93,108,55,2,163,12,5,1,,1,1,0.273909,0.0817167,0.242276,0.337288,0.34422,0.515918,0.368951,0.860138,0.242009,2.87819,0.315927,-0.863558,-0.745092,108.479,31.6073,137.133,-1.60865,-5.17914,27.39492964744568,-2.7791433334350586,4.95521,22.219999313354492,,,,"18360"
