"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Matt Chapman","TOR","27","114","5","17","21","1","12.3%","22.8%",".303",".485",".384",".465",".687",".486",".499","219","1.4","17.5","-1.1","2.0","16505","656305"
"Xander Bogaerts","SDP","29","125","6","21","13","1","12.0%","14.4%",".206",".321",".308",".400",".514",".398",".357","153","0.7","9.0","3.9","1.7","12161","593428"
"Ronald Acuna Jr.","ATL","27","125","4","23","14","13","12.8%","14.4%",".194",".395",".352",".440",".546",".427",".451","166","1.4","11.7","-0.1","1.6","18401","660670"
"Brandon Nimmo","NYM","26","116","2","16","13","3","14.7%","13.8%",".128",".372",".330",".435",".457",".396",".398","154","1.4","9.2","2.6","1.6","12927","607043"
"James Outman","LAD","29","109","7","17","20","4","10.1%","33.0%",".323",".396",".292",".376",".615",".419",".366","165","0.4","9.2","2.4","1.5","24770","681546"
"Mike Trout","LAA","27","124","7","20","18","0","11.3%","27.4%",".280",".388",".308",".395",".589",".419",".417","170","0.7","11.0","-0.1","1.5","10155","545361"
"Wander Franco","TBR","27","121","5","17","17","6","7.4%","16.5%",".245",".329",".300",".364",".545",".388",".365","156","0.8","8.7","2.1","1.5","23667","677551"
"Jorge Mateo","BAL","23","83","6","21","17","10","7.2%","14.5%",".319",".339",".347",".395",".667",".443",".387","189","2.1","10.9","1.2","1.5","17273","622761"
"Jonah Heim","TEX","23","88","5","16","22","0","11.4%","15.9%",".289",".310",".303",".386",".592",".415",".413","169","0.0","7.2","4.5","1.5","16930","641680"
"Brent Rooker","OAK","22","86","9","14","22","0","16.3%","18.6%",".426",".333",".353",".465",".779",".505",".463","237","-0.4","13.5","-2.2","1.4","19627","667670"
"Cody Bellinger","CHC","24","105","7","22","18","4","9.5%","16.2%",".308",".290",".297",".371",".604",".410",".353","158","1.2","8.8","1.4","1.4","15998","641355"
"Thairo Estrada","SFG","26","112","4","19","10","8","4.5%","20.5%",".183",".416",".346",".393",".529",".401",".336","153","2.0","9.5","0.3","1.4","16426","642731"
"Marcus Semien","TEX","28","128","5","25","23","4","10.9%","17.2%",".188",".291",".268",".346",".455",".350",".304","124","1.3","5.0","4.4","1.4","12533","543760"
"Geraldo Perdomo","ARI","22","71","2","14","16","1","9.9%","19.7%",".233",".477",".383",".456",".617",".461",".302","189","1.4","9.3","1.8","1.4","22799","672695"
"Max Muncy","LAD","25","103","11","18","22","1","21.4%","27.2%",".425",".195",".238",".408",".663",".442",".437","180","0.9","11.2","-1.7","1.3","13301","571970"
"Brandon Marsh","PHI","27","98","4","17","14","1","13.3%","28.6%",".318",".453",".329",".418",".647",".449",".344","182","-0.1","9.9","-0.3","1.3","20202","669016"
"Randy Arozarena","TBR","28","125","7","21","28","3","8.0%","23.2%",".245",".382",".327",".392",".573",".412",".419","172","1.1","11.7","-2.9","1.3","19290","668227"
"Josh Lowe","TBR","21","83","5","17","18","5","8.4%","20.5%",".289",".389",".342",".398",".632",".438",".381","190","2.2","11.0","-1.2","1.3","19953","666139"
"Jarred Kelenic","SEA","26","101","7","14","14","5","8.9%","27.7%",".308",".368",".308",".366",".615",".414",".423","173","1.3","10.1","-0.9","1.3","22558","672284"
"Paul Goldschmidt","STL","28","126","4","17","14","3","13.5%","13.5%",".204",".333",".306",".405",".509",".399",".448","154","0.7","9.2","-1.2","1.2","9218","502671"
"Nico Hoerner","CHC","27","128","2","21","17","10","5.5%","9.4%",".109",".349",".328",".367",".437",".353",".353","121","2.2","5.5","2.4","1.2","21479","663538"
"Sean Murphy","ATL","23","96","6","16","16","0","16.7%","24.0%",".321",".286",".256",".396",".577",".416",".453","159","-0.6","6.5","2.3","1.2","19352","669221"
"Jack Suwinski","PIT","22","84","6","10","18","5","16.7%","29.8%",".338",".333",".279",".393",".618",".422",".448","165","1.0","7.8","1.4","1.2","22244","669261"
"Francisco Lindor","NYM","27","117","4","18","21","2","9.4%","25.6%",".228",".265",".218",".316",".446",".332",".323","112","2.3","4.1","3.4","1.2","12916","596019"
"Taylor Walls","TBR","20","73","4","18","10","5","12.3%","19.2%",".270",".333",".302",".397",".571",".416",".314","175","1.4","7.8","1.3","1.1","22458","670764"
"Yandy Diaz","TBR","26","112","7","23","16","0","13.4%","14.3%",".266",".319",".319",".420",".585",".430",".436","185","-0.6","10.7","-2.9","1.1","16578","650490"
"Alex Verdugo","BOS","29","129","4","22","17","1","7.8%","13.2%",".171",".333",".308",".372",".479",".372",".369","134","1.8","7.0","0.1","1.1","17027","657077"
"Hunter Renfroe","LAA","28","120","7","20","20","0","9.2%","20.0%",".259",".269",".259",".325",".519",".360",".302","129","-0.2","4.0","3.3","1.1","15464","592669"
"Patrick Wisdom","CHC","25","102","10","20","20","0","8.8%","33.3%",".391",".271",".250",".324",".641",".403",".391","153","0.8","7.5","-0.2","1.1","13602","621550"
"Bo Bichette","TOR","28","127","6","18","18","0","4.7%","15.0%",".192",".337",".317",".354",".508",".374",".389","141","-0.5","5.7","0.8","1.1","19612","666182"
"Corbin Carroll","ARI","28","107","4","19","9","10","7.5%","22.4%",".227",".377",".309",".374",".536",".393",".343","144","1.9","7.8","-0.9","1.1","25878","682998"
