Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",127,586,38,116,98,10,0.13139932,0.15358362,0.30522088,0.32,0.31726908,0.4112628,0.62248996,0.4315758509047036,0.418,177.36355012339487,2.593731623608619,58.472181893104974,-0.3943643569946289,7.779422633864009,"Mookie Betts",13611,605141
"Freddie Freeman","LAD",133,606,25,111,89,17,0.10066007,0.16171617,0.24574669,0.37469586,0.33837429,0.41419142,0.58412098,0.41871800454617353,0.415,168.70682735906306,4.228473013266921,55.54802602486157,-6.899933815002441,6.904904266697987,"Freddie Freeman",5361,518692
"Ronald Acuña Jr.","ATL",133,616,30,120,83,62,0.11363636,0.11850649,0.23649907,0.34633028,0.33705773,0.41883117,0.5735568,0.4214379048464154,0.456,167.00586118447745,5.610797098372132,56.4857302438404,-9.818120956420898,6.740804473035566,"Ronald Acuna Jr.",18401,660670
"Shohei Ohtani","LAA",132,585,44,101,95,19,0.14529915,0.24102564,0.35378323,0.34527687,0.30674847,0.41034483,0.6605317,0.435611525108895,0.431,180.34253640842272,3.290288736112416,59.69768860470166,-14.151233673095703,6.549725709888435,"Shohei Ohtani",19755,660271
"Corey Seager","TEX",90,411,25,68,80,2,0.10462287,0.16788321,0.30470914,0.36630037,0.34626039,0.41119221,0.65096953,0.4382237516803506,0.433,182.7176795849266,-5.106459630187601,35.69491937849454,4.357951045036316,5.406138270721452,"Corey Seager",13624,608369
"Julio Rodríguez","SEA",126,584,24,82,87,35,0.07020548,0.24486301,0.19626168,0.35054348,0.28598131,0.34589041,0.48224299,0.3546971992658461,0.35,130.67145965799403,5.519116936717182,27.016320478285188,6.418014645576477,5.336329410639024,"Julio Rodriguez",23697,677594
"Luis Robert Jr.","CHW",127,528,35,81,70,17,0.0530303,0.28598485,0.28985507,0.32214765,0.27122153,0.3250478,0.5610766,0.3696669371201725,0.36,136.04894281125482,2.8045432567596436,25.647963648520886,8.667920589447021,5.232968264308492,"Luis Robert Jr.",20043,673357
"Francisco Lindor","NYM",132,568,24,85,79,24,0.09507042,0.20950704,0.21042084,0.27977839,0.250501,0.33274648,0.46092184,0.3414044993024477,0.348,119.31591129001036,5.336011999286711,18.859038029325188,13.82120943069458,5.18150908080751,"Francisco Lindor",12916,596019
"Bobby Witt Jr.","KCR",132,576,27,75,82,38,0.05208333,0.18055556,0.22532589,0.29512195,0.27560521,0.31652174,0.5009311,0.34521125926788676,0.373,116.05251932429354,6.079221970401704,17.176088477945953,13.538885593414307,5.037323753155176,"Bobby Witt Jr.",25764,677951
"Corbin Carroll","ARI",129,528,23,96,65,41,0.09659091,0.19318182,0.23965142,0.3115727,0.2788671,0.36137667,0.51851852,0.3742045289711934,0.349,136.46046805129092,10.987711688503623,34.71600532608792,-3.287166118621826,4.921508859685063,"Corbin Carroll",25878,682998
"Marcus Semien","TEX",133,622,20,99,81,13,0.09646302,0.1414791,0.18083182,0.29333333,0.27486438,0.34621578,0.4556962,0.34533079506889464,0.329,118.4868202417883,1.3318519117310643,15.132112265734262,10.8897225856781,4.72573096361488,"Marcus Semien",12533,543760
"Ha-Seong Kim","SDP",130,522,17,76,52,29,0.12260536,0.18773946,0.15883669,0.31845238,0.27740492,0.36872587,0.43624161,0.35216765399144884,0.324,127.10605680795001,3.956434971652925,21.396463590158525,7.4088664054870605,4.639177193155616,"Ha-Seong Kim",27506,673490
"Matt Olson","ATL",133,596,43,103,112,1,0.1442953,0.24832215,0.31610338,0.29113924,0.26838966,0.37583893,0.58449304,0.39892989782249033,0.39,151.8520343809328,-0.01311147678643465,38.07789131567949,-11.975780725479126,4.618856412050286,"Matt Olson",14344,621566
"Wander Franco","TBR",112,491,17,65,58,30,0.08553971,0.14052953,0.19457013,0.29722222,0.28054299,0.34419552,0.47511312,0.34885220608261763,0.361,127.16803922829271,-0.026712637394666672,15.98266556992806,12.856755256652832,4.559401822463887,"Wander Franco",23667,677551
"Sean Murphy","ATL",94,383,20,59,67,0,0.10443864,0.22454308,0.24923077,0.30909091,0.27076923,0.37859008,0.52,0.38604593899480355,0.405,143.17773103585063,-5.09290150180459,15.290137559071297,16.272757053375244,4.445573259298945,"Sean Murphy",19352,669221
"José Ramírez","CLE",128,566,21,77,71,22,0.10600707,0.1024735,0.20641282,0.27464789,0.27655311,0.35159011,0.48296593,0.34598484896395326,0.36,123.14890836434286,5.46988689340651,21.194559923688836,3.0274852514266968,4.35450911847257,"Jose Ramirez",13510,608070
"Kyle Tucker","HOU",131,563,26,79,97,26,0.11900533,0.12966252,0.225,0.29305913,0.29166667,0.37522442,0.51666667,0.3759170820496299,0.397,142.08751261262447,4.902157972566783,33.33997995058489,-9.663933992385864,4.289709846944617,"Kyle Tucker",18345,663656
"Austin Riley","ATL",133,593,32,98,82,3,0.07925801,0.23271501,0.23076923,0.31266846,0.27767355,0.33726813,0.50844278,0.35674330774000135,0.363,123.44932956292575,1.840256862808019,18.979651153603484,3.079957365989685,4.204894046400239,"Austin Riley",18360,663586
"Adolis García","TEX",129,558,32,94,97,8,0.09856631,0.27060932,0.24643584,0.2866242,0.24847251,0.32795699,0.49490835,0.3498705069010403,0.367,121.62580518516313,3.939369541592896,18.421790339353542,3.8669610023498535,4.134030096776747,"Adolis Garcia",19287,666969
"William Contreras","MIL",112,479,14,64,65,2,0.09812109,0.19415449,0.17840376,0.328125,0.27934272,0.35699374,0.45774648,0.35271690193579286,0.344,121.57971660573521,-3.058941080700606,9.681709248567536,15.440351963043213,4.126114664872456,"William Contreras",20503,661388
"Fernando Tatis Jr.","SDP",115,522,20,74,67,23,0.08237548,0.2183908,0.19067796,0.30791789,0.26483051,0.32821497,0.45550847,0.33713355689039615,0.38,116.98414315407307,3.785135260783136,14.712727745609468,8.138230800628662,4.04434669164207,"Fernando Tatis Jr.",19709,665487
"Juan Soto","SDP",135,591,25,71,80,6,0.19120135,0.1928934,0.21868365,0.29166667,0.2611465,0.40338983,0.47983015,0.38002121684067847,0.397,145.85885294979454,-3.662994478829205,29.74273921501411,-9.403432369232178,4.026289802245319,"Juan Soto",20123,665742
"Isaac Paredes","TBR",119,466,27,62,84,1,0.0944206,0.17596567,0.25062034,0.25762712,0.25558313,0.35407725,0.50620347,0.3693088551447627,0.315,141.31279461635125,1.1003619292750955,24.205319079872705,0.08645570278167725,4.019642396941093,"Isaac Paredes",20036,670623
"Christian Yelich","MIL",129,568,17,94,68,27,0.11795775,0.20950704,0.16666666,0.33977901,0.2811245,0.36971831,0.44779116,0.3530481234591275,0.362,121.80271607400816,7.154724464286119,22.41875692786618,-2.6058578491210938,3.896085194203188,"Christian Yelich",11477,592885
"Bryson Stott","PHI",125,532,14,69,55,25,0.06015038,0.14849624,0.14989733,0.32338308,0.29568789,0.34022556,0.44558522,0.337293889787462,0.319,111.07638288380761,4.313139801379293,11.576204924729891,9.395068526268005,3.89031641121273,"Bryson Stott",26294,681082
"Dansby Swanson","CHC",119,515,19,63,66,6,0.10679612,0.24854369,0.17582417,0.3,0.24615385,0.33009709,0.42197802,0.3278312890275011,0.354,106.3126005244883,2.687690812163055,6.694751151466251,14.615967750549316,3.8668569438772153,"Dansby Swanson",18314,621020
