"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Ronald Acuna Jr.","ATL","81","373","20","74","53","37","11.0%","12.6%",".261",".341",".334",".413",".595",".427","","168","4.6","36.0","-3.3","4.5","18401","660670"
"Shohei Ohtani","LAA","82","369","30","60","67","11","12.2%","21.7%",".364",".327",".310",".396",".674",".442","","187","0.6","38.3","-8.9","4.2","19755","660271"
"Wander Franco","TBR","78","345","9","46","40","26","8.1%","12.8%",".179",".305",".285",".345",".465",".347","","127","1.6","12.8","12.5","3.7","23667","677551"
"Corbin Carroll","ARI","79","323","17","60","44","24","9.0%","19.8%",".269",".320",".290",".366",".559",".393","","146","8.2","26.4","-1.9","3.6","25878","682998"
"Luis Robert","CHW","81","339","24","57","46","6","5.3%","28.9%",".300",".319",".270",".329",".570",".378","","143","0.6","17.9","5.5","3.5","20043","673357"
"Mookie Betts","LAD","78","359","22","64","55","7","13.1%","17.3%",".283",".268",".270",".370",".553",".391","","148","2.5","24.0","-1.4","3.5","13611","605141"
"Juan Soto","SDP","82","359","14","45","42","6","20.9%","20.6%",".221",".323",".274",".426",".495",".397","","154","-0.4","23.8","-3.0","3.3","20123","665742"
"Freddie Freeman","LAD","81","372","14","65","53","11","10.5%","17.2%",".224",".359",".320",".401",".543",".399","","153","2.8","27.4","-7.3","3.3","5361","518692"
"Sean Murphy","ATL","61","249","14","36","47","0","10.8%","22.9%",".262",".340",".294",".390",".556",".404","","153","-3.6","12.7","11.2","3.2","19352","669221"
"Jose Ramirez","CLE","77","345","13","50","52","9","10.7%","9.3%",".225",".289",".295",".365",".520",".366","","135","1.7","16.0","4.0","3.2","13510","608070"
"Marcus Semien","TEX","82","388","11","67","55","7","8.8%","14.4%",".175",".305",".282",".344",".457",".345","","121","2.6","12.1","6.5","3.2","12533","543760"
"Adolis Garcia","TEX","81","352","20","60","66","6","9.1%","25.6%",".247",".300",".263",".332",".510",".358","","130","2.4","14.8","4.0","3.1","19287","666969"
"Mike Trout","LAA","78","345","17","53","42","2","12.5%","27.5%",".229",".328",".263",".368",".491",".370","","137","2.0","16.9","1.0","3.0","10155","545361"
"Will Smith","LAD","60","260","12","39","41","1","15.8%","13.5%",".225",".281",".282",".404",".507",".393","","149","0.5","16.3","4.0","2.9","19197","669257"
"Fernando Tatis Jr.","SDP","62","288","15","44","37","14","8.3%","19.4%",".238",".295",".273",".338",".512",".363","","132","2.7","14.0","5.3","2.9","19709","665487"
"Dansby Swanson","CHC","78","344","9","38","35","4","11.3%","22.1%",".149",".326",".264",".352",".413",".338","","111","1.5","6.3","10.9","2.9","18314","621020"
"Jonah Heim","TEX","72","288","12","40","56","2","6.9%","18.1%",".199",".305",".278",".330",".477",".346","","122","-0.3","7.1","11.8","2.9","16930","641680"
"Bo Bichette","TOR","82","364","14","42","48","3","4.1%","17.0%",".184",".353",".316",".346",".500",".364","","135","0.2","15.2","0.6","2.8","19612","666182"
"Randy Arozarena","TBR","80","344","15","51","57","9","13.1%","23.5%",".196",".349",".288",".401",".484",".387","","155","-0.8","21.6","-5.1","2.8","19290","668227"
"Aaron Judge","NYY","49","213","19","42","40","3","16.4%","29.6%",".383",".333",".291",".404",".674",".440","","188","0.2","22.3","-2.0","2.8","15640","592450"
"Corey Seager","TEX","50","228","10","32","48","1","10.5%","17.1%",".260",".383",".345",".412",".605",".427","","178","-3.7","17.3","1.6","2.7","13624","608369"
"Ha-seong Kim","SDP","78","289","9","36","30","13","11.8%","22.8%",".153",".313",".258",".346",".411",".333","","112","3.2","7.4","9.1","2.6","27506","673490"
"Thairo Estrada","SFG","68","306","9","45","30","18","4.9%","24.5%",".167",".342",".273",".327",".440",".332","","109","4.3","7.7","8.2","2.6","16426","642731"
"Luis Arraez","MIA","77","326","3","36","39","1","7.7%","5.2%",".092",".404",".390",".442",".481",".398","","153","-3.4","18.2","-3.0","2.6","18568","650333"
