"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Zac Gallen","ARI","4","1","0","6","6","37.2","12.19","1.19","0.48",".268","73.5%","40.5%","7.7%","93.6","2.15","2.31","1.84","2.25","1.7","19291","668678"
"Gerrit Cole","NYY","5","0","0","6","6","40.2","9.74","2.43","0.00",".245","85.7%","44.1%","0.0%","97.0","1.11","2.75","2.10","3.47","1.7","13125","543037"
"Nathan Eovaldi","TEX","3","2","0","6","6","36.2","9.57","1.23","0.25",".356","62.5%","48.5%","3.0%","96.2","3.93","2.93","2.10","3.17","1.4","9132","543135"
"Kevin Gausman","TOR","2","2","0","6","6","38.2","12.57","1.40","0.93",".322","74.9%","44.1%","11.4%","93.8","2.33","3.07","2.40","2.49","1.4","14107","592332"
"Sonny Gray","MIN","4","0","0","6","6","35.0","10.54","3.09","0.00",".287","91.9%","44.7%","0.0%","92.9","0.77","2.97","2.07","3.52","1.4","12768","543243"
"Luis Castillo","SEA","2","0","0","6","6","34.2","9.87","2.08","0.26",".261","81.7%","41.6%","3.1%","95.8","1.82","3.23","2.26","3.35","1.4","15689","622491"
"Jacob deGrom","TEX","2","0","0","6","6","30.1","13.35","1.19","0.59",".266","59.4%","37.9%","6.9%","99.1","2.67","1.88","1.67","2.33","1.4","10954","594798"
"Spencer Strider","ATL","3","0","0","5","5","30.0","14.70","3.30","0.30",".245","81.3%","35.2%","4.0%","97.9","1.80","2.42","1.75","2.64","1.3","27498","675911"
"Zack Wheeler","PHI","3","1","0","6","6","32.2","11.30","3.03","0.28",".333","67.3%","40.0%","3.2%","96.2","3.86","3.21","2.56","3.66","1.2","10310","554430"
"Jordan Montgomery","STL","2","4","0","6","6","35.0","8.23","2.06","0.26",".315","70.4%","47.2%","3.0%","93.7","3.34","3.60","2.70","3.82","1.2","16511","656756"
"Clayton Kershaw","LAD","5","1","0","6","6","38.0","9.71","1.18","0.95",".215","77.9%","46.3%","12.1%","91.3","1.89","2.86","3.07","3.08","1.2","2036","477132"
"Hunter Greene","CIN","0","1","0","6","6","28.0","12.86","3.54","0.32",".394","76.4%","32.4%","3.2%","99.3","2.89","3.40","2.38","3.67","1.1","22182","668881"
"Hunter Brown","HOU","3","0","0","5","5","30.1","9.49","2.97","0.00",".293","68.6%","53.3%","0.0%","96.2","2.37","3.04","2.56","3.60","1.1","25880","686613"
"Jose Berrios","TOR","2","3","0","5","5","28.2","9.42","1.57","0.31",".321","49.0%","49.4%","4.0%","94.2","4.71","4.33","2.37","3.30","1.0","14168","621244"
