"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Zack Wheeler","PHI","8","5","0","21","21","125.0","10.44","1.73","0.72",".315","68.9%","39.1%","7.8%","96.1","3.74","3.17","2.74","3.37","4.4","10310","554430"
"Kevin Gausman","TOR","8","5","0","21","21","127.2","12.05","2.26","0.99",".328","76.7%","42.8%","11.9%","94.6","3.10","3.72","2.82","2.89","3.9","14107","592332"
"Zac Gallen","ARI","11","5","0","22","22","136.2","9.42","1.84","0.92",".292","71.7%","37.9%","9.7%","93.5","3.36","3.86","3.15","3.53","3.6","19291","668678"
"Spencer Strider","ATL","11","3","0","21","21","123.0","14.56","2.63","1.32",".329","73.2%","32.7%","14.9%","97.4","3.73","3.10","2.96","2.65","3.4","27498","675911"
"Sonny Gray","MIN","4","4","0","21","21","117.1","8.82","3.38","0.31",".308","75.0%","47.7%","4.1%","92.7","3.22","4.02","2.93","3.83","3.2","12768","543243"
"Framber Valdez","HOU","8","7","0","20","20","126.0","9.57","2.29","0.79",".303","73.6%","53.5%","13.1%","95.7","3.29","4.08","3.19","3.13","3.2","17295","664285"
"Gerrit Cole","NYY","9","2","0","22","22","136.1","9.84","2.38","0.86",".275","81.8%","38.5%","9.6%","97.0","2.64","3.57","3.25","3.61","3.2","13125","543037"
"Zach Eflin","TBR","11","6","0","20","20","116.1","8.97","1.32","0.85",".290","70.1%","51.7%","10.9%","93.2","3.64","3.12","3.00","3.17","3.1","13774","621107"
"George Kirby","SEA","9","8","0","21","21","128.2","8.32","0.98","0.98",".303","74.3%","43.8%","10.1%","96.0","3.43","3.89","3.23","3.57","3.1","25436","669923"
"Nathan Eovaldi","TEX","11","3","0","19","19","123.2","8.08","2.47","0.58",".258","77.2%","51.8%","7.6%","95.5","2.69","3.49","3.24","3.77","3.0","9132","543135"
"Justin Steele","CHC","11","3","0","19","19","109.2","8.21","1.97","0.57",".296","76.3%","50.0%","7.1%","","2.87","3.36","3.10","3.73","2.9","17312","657006"
"Jesus Luzardo","MIA","8","5","0","22","22","125.0","10.58","2.52","0.94",".318","76.4%","42.9%","10.2%","96.9","3.38","3.67","3.23","3.53","2.9","19959","666200"
"Logan Webb","SFG","8","9","0","22","22","141.2","8.89","1.52","1.08",".303","74.0%","60.4%","17.9%","92.8","3.49","3.62","3.43","2.95","2.8","17995","657277"
"Pablo Lopez","MIN","5","6","0","21","21","128.2","11.19","2.52","1.19",".302","72.0%","40.2%","12.7%","95.0","4.13","3.27","3.48","3.45","2.7","17085","641154"
"Felix Bautista","BAL","6","1","29","47","0","51.2","17.59","3.66","0.52",".278","88.5%","40.5%","9.7%","100.0","0.87","1.72","1.45","1.67","2.7","20666","642585"
"Dylan Cease","CHW","4","4","0","22","22","119.1","10.78","3.70","0.91",".320","71.0%","37.7%","9.8%","95.7","4.15","4.08","3.57","3.93","2.6","18525","656302"
"Logan Gilbert","SEA","9","5","0","21","21","124.2","8.74","1.52","1.16",".277","69.9%","42.3%","11.4%","95.5","3.83","3.62","3.55","3.70","2.5","22250","669302"
"Blake Snell","SDP","8","8","0","22","22","119.0","11.80","5.14","0.83",".280","86.0%","44.5%","12.6%","95.5","2.50","3.86","3.62","3.60","2.5","13543","605483"
"Marcus Stroman","CHC","10","8","0","23","23","128.2","7.76","3.50","0.56",".277","67.6%","57.9%","10.0%","92.2","3.85","3.97","3.59","3.79","2.4","13431","573186"
"Luis Castillo","SEA","7","7","0","22","22","131.1","10.21","2.26","1.30",".252","78.8%","40.2%","13.4%","96.4","2.88","3.72","3.73","3.60","2.4","15689","622491"
"Jordan Montgomery","STL","6","9","0","21","21","121.0","8.03","2.60","0.89",".297","73.1%","44.4%","9.8%","93.7","3.42","4.28","3.74","4.10","2.4","16511","656756"
"Kyle Gibson","BAL","10","6","0","23","23","133.0","7.31","2.84","0.74",".306","68.5%","48.5%","8.7%","92.3","4.53","4.59","3.78","4.24","2.4","10123","502043"
"Miles Mikolas","STL","6","6","0","23","23","127.1","6.15","1.77","0.85",".311","70.4%","38.3%","7.6%","93.5","4.38","4.97","3.89","4.67","2.3","9803","571945"
"Aaron Nola","PHI","9","7","0","22","22","138.0","9.07","2.15","1.57",".266","65.1%","40.7%","15.5%","92.7","4.43","3.78","4.26","3.82","2.3","16149","605400"
"Jose Berrios","TOR","8","7","0","22","22","130.1","8.49","2.76","0.97",".289","78.3%","43.6%","10.5%","94.2","3.31","4.53","3.89","4.14","2.3","14168","621244"
"Clayton Kershaw","LAD","10","4","0","16","16","95.1","9.91","2.27","1.13",".271","84.5%","47.2%","14.6%","91.4","2.55","3.51","3.52","3.28","2.3","2036","477132"
"Sandy Alcantara","MIA","4","9","0","21","21","135.1","7.51","2.46","0.93",".295","66.9%","50.1%","11.4%","98.1","4.46","4.31","3.86","3.98","2.2","18684","645261"
"Reid Detmers","LAA","2","8","0","19","19","101.1","11.28","3.46","1.07",".321","69.3%","33.2%","11.2%","94.7","4.35","4.11","3.67","3.84","2.2","27468","672282"
"Joe Ryan","MIN","9","7","0","21","21","122.0","10.92","1.77","1.55",".290","74.3%","31.8%","13.0%","92.5","4.06","3.08","3.77","3.67","2.2","21390","657746"
"Corbin Burnes","MIL","9","6","0","22","22","133.1","9.18","3.11","1.01",".235","73.0%","44.1%","12.3%","95.5","3.44","3.29","3.89","3.91","2.2","19361","669203"
"Hunter Brown","HOU","7","7","0","20","20","111.1","10.19","2.99","1.05",".335","72.5%","53.7%","17.6%","96.0","4.12","3.97","3.71","3.27","2.2","25880","686613"
"Eduardo Rodriguez","DET","6","5","0","15","15","88.1","9.27","2.14","0.82",".270","75.8%","40.5%","9.1%","92.5","2.95","3.46","3.17","3.61","2.2","13164","593958"
"Alex Cobb","SFG","6","3","0","19","19","106.0","8.49","2.38","0.68",".341","81.0%","57.4%","12.1%","95.2","2.97","4.37","3.27","3.30","2.1","6562","502171"
"Mitch Keller","PIT","9","7","0","22","22","133.2","9.76","2.69","1.14",".296","72.3%","44.7%","13.5%","95.5","3.97","3.83","3.81","3.68","2.1","17594","656605"
"Joe Musgrove","SDP","10","3","0","17","17","97.1","8.97","1.94","0.92",".305","80.2%","45.0%","11.2%","93.2","3.05","3.12","3.54","3.68","2.1","12970","605397"
"Shohei Ohtani","LAA","9","5","0","20","20","120.2","11.64","3.73","1.34",".241","79.3%","45.2%","18.4%","96.8","3.43","3.83","4.14","3.52","2.0","19755","660271"
"Merrill Kelly","ARI","9","5","0","18","18","106.0","9.25","3.48","0.93",".267","74.1%","44.4%","11.8%","92.4","3.23","4.31","3.81","3.88","2.0","11156","518876"
"Kyle Bradish","BAL","6","6","0","19","19","104.0","8.22","2.34","0.87",".286","77.3%","45.8%","10.3%","","3.29","4.14","3.62","3.88","1.9","24586","680694"
"Shane McClanahan","TBR","11","1","0","20","20","111.0","9.57","3.32","1.05",".275","83.3%","43.0%","12.0%","96.9","3.00","3.91","3.78","3.83","1.9","21483","663556"
"Bailey Ober","MIN","6","5","0","17","17","98.2","8.67","1.64","1.19",".277","79.1%","32.6%","9.5%","91.4","3.19","3.70","3.76","4.29","1.9","21224","641927"
"Alexis Diaz","CIN","3","2","32","50","0","47.1","12.93","3.80","0.38",".268","82.0%","40.8%","5.7%","95.0","2.09","2.79","2.60","3.24","1.9","21132","664747"
