"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Kevin Gausman","TOR","7","4","0","17","17","104.2","11.95","2.24","0.77",".333","74.5%","43.4%","9.8%","94.6","3.01","","2.55","2.84","3.5","14107","592332"
"Zac Gallen","ARI","10","2","0","17","17","104.1","9.32","1.90","0.60",".301","71.3%","38.7%","6.5%","93.4","3.02","","2.75","3.52","3.4","19291","668678"
"Zack Wheeler","PHI","6","4","0","16","16","93.1","10.22","2.12","0.58",".322","68.1%","38.6%","5.9%","96.0","3.86","","2.79","3.68","3.2","10310","554430"
"Framber Valdez","HOU","7","6","0","16","16","105.0","9.43","2.06","0.60",".289","76.8%","56.5%","11.3%","96.1","2.49","","2.86","2.94","3.0","17295","664285"
"Nathan Eovaldi","TEX","9","3","0","16","16","105.1","8.63","1.97","0.68",".272","76.4%","50.7%","8.8%","95.7","2.82","","3.10","3.49","2.6","9132","543135"
"Justin Steele","CHC","9","2","0","15","15","85.1","8.02","2.00","0.32",".277","75.5%","51.3%","3.8%","","2.43","","2.81","3.83","2.6","17312","657006"
"Sonny Gray","MIN","4","2","0","16","16","87.2","9.14","3.39","0.31",".316","80.0%","47.7%","4.1%","92.8","2.67","","2.83","3.74","2.5","12768","543243"
"Mitch Keller","PIT","9","3","0","17","17","105.0","10.11","2.40","0.86",".289","73.1%","47.7%","11.1%","95.6","3.34","","3.25","3.38","2.3","17594","656605"
"George Kirby","SEA","6","7","0","15","15","94.0","7.56","0.67","0.96",".302","75.3%","45.3%","9.8%","95.9","3.26","","3.28","3.63","2.3","25436","669923"
"Spencer Strider","ATL","9","2","0","16","16","91.2","14.33","3.14","1.28",".317","74.0%","30.1%","13.7%","97.3","3.73","","3.13","2.94","2.3","27498","675911"
"Pablo Lopez","MIN","4","5","0","17","17","102.0","11.12","2.65","1.06",".301","69.7%","40.4%","11.0%","95.0","4.24","","3.41","3.58","2.3","17085","641154"
"Clayton Kershaw","LAD","10","4","0","16","16","95.1","9.91","2.27","1.13",".271","84.5%","47.2%","14.6%","91.4","2.55","","3.54","3.28","2.2","2036","477132"
"Marcus Stroman","CHC","9","5","0","17","17","102.0","7.50","3.09","0.44",".250","76.4%","59.3%","8.3%","92.2","2.47","","3.38","3.68","2.2","13431","573186"
"Jesus Luzardo","MIA","6","5","0","17","17","97.0","10.39","2.23","1.02",".314","75.3%","41.1%","10.9%","96.9","3.53","","3.29","3.48","2.2","19959","666200"
"Joe Ryan","MIN","8","5","0","16","16","96.2","9.78","1.40","1.21",".265","73.3%","34.2%","10.4%","92.6","3.44","","3.39","3.71","2.2","21390","657746"
