Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.427601614610745,0.463,170.35287106006987,6.874815658200532,70.94219480410436,-12.9583101272583,8.277305721538697,"Ronald Acuna Jr.",18401,660670
"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.41649316557939503,0.411,166.69668085072368,3.494918044656515,60.76202585616238,-1.6592819690704346,8.246266412767229,"Mookie Betts",13611,605141
"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.41058355760773574,0.409,162.7352694716364,5.062207718845457,61.80391796997205,-7.581490516662598,7.8852635307515255,"Freddie Freeman",5361,518692
"Matt Olson","ATL",162,720,54,127,139,1,0.144444444,0.231944444,0.320723685,0.301790281,0.282894736,0.388888888,0.603618421,0.4127604912840918,0.394,160.40436092088805,1.4535562563687563,55.33864272321028,-13.264470338821411,6.6399733601574455,"Matt Olson",14344,621566
"Shohei Ohtani","LAA",135,599,44,102,95,20,0.151919866,0.238731218,0.350100604,0.341853035,0.303822937,0.412457912,0.653923541,0.43348509458139095,0.428,179.5801604271223,3.4440738623961806,60.56048924836402,-14.475299835205078,6.624108563870374,"Shohei Ohtani",19755,660271
"Marcus Semien","TEX",162,753,29,122,100,14,0.095617529,0.146082337,0.201492538,0.291044776,0.276119402,0.348404255,0.47761194,0.354235669030013,0.335,124.15068704791345,1.8872441966086626,23.677070942950746,13.274909734725952,6.235011341811131,"Marcus Semien",12533,543760
"Corey Seager","TEX",119,536,33,88,96,2,0.09141791,0.164179104,0.295597484,0.339779005,0.327044025,0.389925373,0.622641509,0.41859656119934746,0.413,168.76269918379353,-5.783835432026535,38.377989966844986,4.131358574144542,6.054169199918347,"Corey Seager",13624,608369
"Corbin Carroll","ARI",155,645,25,116,76,54,0.088372093,0.193798449,0.221238938,0.324582338,0.284955752,0.361502347,0.50619469,0.37028003533058407,0.346,133.1139034124998,14.919994910713285,41.38292235973775,-3.905137836933136,5.927004669164772,"Corbin Carroll",25878,682998
"Julio Rodríguez","SEA",155,714,32,102,103,37,0.06582633,0.245098039,0.209480123,0.32962138,0.275229357,0.333333333,0.48470948,0.3474644531974685,0.346,126.15557564616633,7.14025006396696,29.51673189669053,5.473739981651306,5.9073300350930715,"Julio Rodriguez",23697,677594
"Francisco Lindor","NYM",160,687,31,108,98,31,0.096069868,0.199417758,0.215946844,0.27664399,0.254152823,0.336244541,0.470099667,0.3455361246888909,0.345,121.28512855590516,7.04979264549911,25.167398540891668,10.37304973602295,5.876431318916975,"Francisco Lindor",12916,596019
"Bobby Witt Jr.","KCR",158,694,30,97,96,49,0.057636887,0.174351585,0.218408736,0.295180722,0.276131045,0.318903318,0.494539781,0.3433033512162335,0.373,114.80692272448123,7.006668594200164,19.319376901921224,14.391759395599365,5.712023498865471,"Bobby Witt Jr.",25764,677951
"Juan Soto","SDP",162,708,35,97,109,12,0.186440677,0.182203389,0.24471831,0.29584352,0.274647887,0.410183875,0.519366197,0.39487870500005523,0.408,155.04718196003634,-4.533922360744327,43.753735669411896,-12.154970169067383,5.554696948110771,"Juan Soto",20123,665742
"William Contreras","MIL",141,611,17,86,78,6,0.103109656,0.206219312,0.168518519,0.350877192,0.29074074,0.368852459,0.459259259,0.3587512873897427,0.336,125.38417964407893,-2.306976880412549,16.909427828768003,17.59702968597412,5.515283981917845,"William Contreras",20503,661388
"Aaron Judge","NYY",106,458,37,79,75,3,0.192139737,0.283842794,0.346049047,0.30049261,0.267029972,0.406113537,0.613079019,0.4203646009111723,0.468,174.4674447422231,0.7238586116582155,41.58977485119401,-4.806079864501953,5.219060659381491,"Aaron Judge",15640,592450
"Austin Riley","ATL",159,715,37,117,97,3,0.082517482,0.24055944,0.23427673,0.324200913,0.28144654,0.345454545,0.51572327,0.36272989781429327,0.366,126.86715113908524,1.5622477107681334,25.36326139462711,2.5798589289188385,5.213949553796908,"Austin Riley",18360,663586
"José Ramírez","CLE",156,691,24,87,80,28,0.105643994,0.105643994,0.193126023,0.284615384,0.281505728,0.356005788,0.474631751,0.3458431162641722,0.36,122.85763982012693,7.844053931999952,26.769178339610235,1.7254999876022339,5.181714672643842,"Jose Ramirez",13510,608070
"Kyle Tucker","HOU",157,674,29,97,112,30,0.118694362,0.136498516,0.233449477,0.289416846,0.283972125,0.368815592,0.517421602,0.37198389292125644,0.387,139.72284459027355,6.712300893850625,38.79194550637254,-10.940619945526123,5.059984836064949,"Kyle Tucker",18345,663656
"Adley Rutschman","BAL",154,687,20,84,80,1,0.133915574,0.147016011,0.158163265,0.302966101,0.277210884,0.374090247,0.435374149,0.35164787704548994,0.373,127.07402674938716,-2.9752841549925506,19.311063521579626,7.964120149612427,5.046567339270585,"Adley Rutschman",26288,668939
"Luis Robert Jr.","CHW",145,595,38,90,80,20,0.050420168,0.28907563,0.278388279,0.313609467,0.263736263,0.315254237,0.542124542,0.35812922879161996,0.35,128.26581803332866,1.9960359586402774,22.147557131607797,7.660430192947388,4.98751465497999,"Luis Robert Jr.",20043,673357
"Dansby Swanson","CHC",147,638,22,81,80,9,0.103448275,0.24137931,0.171681416,0.296675191,0.244247787,0.327586206,0.415929203,0.32463358328633923,0.346,103.70602379665081,4.654573880601674,7.584095289408527,20.42283010482788,4.958871211194572,"Dansby Swanson",18314,621020
"Adolis García","TEX",148,632,39,108,107,9,0.102848101,0.276898734,0.263063063,0.279538904,0.245045045,0.327531645,0.508108108,0.3541657715281354,0.367,124.10223731241526,3.7084509753622115,21.96016885617556,5.463239669799805,4.875061244245117,"Adolis Garcia",19287,666969
"J.P. Crawford","SEA",145,638,19,94,65,2,0.147335423,0.195924764,0.172284645,0.31377551,0.265917602,0.379527559,0.438202247,0.35903027691299605,0.339,134.17247302852437,1.168943959288299,27.29214536744561,-0.20096969604492188,4.862255477762325,"J.P. Crawford",15491,641487
"Gunnar Henderson","BAL",150,622,28,100,82,10,0.090032154,0.255627009,0.233928572,0.305851063,0.255357142,0.324758842,0.489285714,0.3457543951685686,0.345,122.98893600322319,5.095018376130611,22.228221616182744,4.47720992565155,4.769599545048131,"Gunnar Henderson",26289,683002
"Yandy Díaz","TBR",137,600,22,95,78,0,0.108333333,0.156666666,0.192380952,0.367396593,0.329523809,0.41,0.521904761,0.4017350248495738,0.381,164.06888409305245,-6.9762415499426425,39.08416011831591,-12.130409717559814,4.719845714728511,"Yandy Diaz",16578,650490
"Nico Hoerner","CHC",150,688,9,98,68,43,0.07122093,0.120639534,0.100161551,0.312030075,0.282714054,0.34643377,0.382875605,0.3221300966180915,0.311,102.02785146736086,9.621889826841652,11.35048132799054,12.09261965751648,4.673565953386087,"Nico Hoerner",21479,663538
"Cal Raleigh","SEA",145,569,30,78,75,0,0.094903339,0.27768014,0.22417154,0.273006134,0.23196881,0.305799648,0.45614035,0.3261858115733509,0.331,111.4061993343433,-0.81556824920699,6.960902345223411,20.406830310821533,4.656127484003389,"Cal Raleigh",21534,663728
