Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",10,6,0,26,26,158,9.968354430379748,1.7088607594936709,0.8544303797468354,0.2976190476190476,0.7133758,0.40972222,0.09202454,96.04557170991659,3.588607594936709,3.16,3.0030935903138753,3.4721906437338155,5.168688774108887,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",16,4,0,27,27,159.1,13.838912575659096,2.7677825151318194,1.0732217915817257,0.30959752321981426,0.72289157,0.3431085,0.12258065,97.39329292847938,3.5585775194551963,2.95,2.8107044015865936,2.866619393164921,4.767018795013428,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",10,8,0,26,26,155.1,11.703863044177634,2.3175966424114125,0.9270386569645651,0.33509234828496043,0.74572127,0.42857143,0.10884354,94.64682922127987,3.302575215436263,3.76,2.831256774973383,3.054653191990975,4.7250800132751465,"Kevin Gausman",14107,592332
"Sonny Gray","MIN",7,6,0,27,27,157,8.94267515923567,2.9235668789808917,0.34394904458598724,0.29439252336448596,0.75587906,0.48018648,0.04651163,92.85801278861464,2.9235668789808917,3.71,2.823096815340078,3.6828575180404504,4.565134048461914,"Sonny Gray",12768,543243
"Zac Gallen","ARI",14,6,0,28,28,173.1,9.450000277299155,1.9211539025278503,1.0384615689339731,0.293598233995585,0.75151515,0.39278132,0.11428571,93.51367933537051,3.323077020588714,4.15,3.3548949562163046,3.5217968084614606,4.032853126525879,"Zac Gallen",19291,668678
"Zach Eflin","TBR",13,8,0,26,26,150.2,9.019911199927163,1.1946902251559157,0.9557521801247325,0.291358024691358,0.74101796,0.51331719,0.11594203,93.39521300117924,3.4048671416943597,3.04,3.076746559509031,3.208439052732901,3.9981656074523926,"Zach Eflin",13774,621107
"George Kirby","SEA",10,8,0,25,25,156.1,8.174840351254081,0.8059701754757546,0.9786780702205591,0.2947845804988662,0.75070822,0.44175824,0.10240964,96.1415514823718,3.2814500001512865,3.79,3.205017962951683,3.544487574520711,3.936490535736084,"George Kirby",25436,669923
"Justin Steele","CHC",15,3,0,25,25,144,8.8125,1.9375,0.6875,0.31203931203931207,0.75342466,0.48184019,0.08661417,,2.6875,3.5,3.08897615008884,3.5520343246766264,3.8690342903137207,"Justin Steele",17312,657006
"Logan Webb","SFG",9,11,0,28,28,180.1,8.43438101423002,1.347504659078169,0.948244019351304,0.3064516129032258,0.72405929,0.60588235,0.1637931,92.76744934752747,3.4935305976100675,3.66,3.2736778345256976,2.9660202544937344,3.8093552589416504,"Logan Webb",17995,657277
"Framber Valdez","HOU",10,9,0,26,26,167.2,8.803180647463465,2.308151023420299,0.8588468924354601,0.2796420581655481,0.7134434,0.54585153,0.13793103,95.69189453125,3.381709638964624,4.18,3.459406340716411,3.3611106258000367,3.792983293533325,"Framber Valdez",17295,664285
"Gerrit Cole","NYY",12,4,0,28,28,174,9.724137931034482,2.3275862068965516,1.0344827586206897,0.2678983833718245,0.8,0.3986637,0.11428571,96.93183633154001,2.9482758620689653,3.66,3.492472318671216,3.6587346953393403,3.589430093765259,"Gerrit Cole",13125,543037
"Pablo López","MIN",9,7,0,27,27,164.2,10.712551269071094,2.350202574337026,1.1477733502576173,0.3075060532687651,0.76512456,0.42523364,0.12727273,94.87176547097481,3.716599419881808,3.16,3.4508463821416773,3.447320395832768,3.563598155975342,"Pablo Lopez",17085,641154
