"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Sean Murphy","OAK","C","923.1","5","0","2","","","-1","","","10","","","","","","9.7","","","","","","","19.6","19352"
"Max Stassi","LAA","C","703.0","10","-1","-1","","","1","","","10","","","","","","12.0","","","","","","","17.1","10059"
"J.T. Realmuto","PHI","C","973.0","1","-3","0","","","3","","","0","","","","","","8.6","","","","","","","16.9","11739"
"Omar Narvaez","MIL","C","886.1","4","2","0","","","-3","","","3","","","","","","8.8","","","","","","","16.4","13338"
"Jacob Stallings","PIT","C","892.0","5","4","0","","","9","","","21","","","","","","8.8","","","","","","","16.4","13723"
"Mike Zunino","TBR","C","860.1","8","2","1","","","-3","","","7","","","","","","8.0","","","","","","","16.3","13265"
"Jonah Heim","TEX","C","641.0","5","2","2","","","-2","","","6","","","","","","8.3","","","","","","","15.8","16930"
"Michael A. Taylor","KCR","CF","1186.0","0","","","","5","2","12","","19","246","230",".935","121","","","5.1","","7.9","0.3","13.3","13.9","15.3","11489"
"Jose Trevino","TEX","C","713.0","5","-2","0","","","3","","","8","","","","","","8.8","","","","","","","14.9","16725"
"Buster Posey","SFG","C","892.0","1","-9","1","","","2","","","-5","","","","","","5.3","","","","","","","13.9","9166"
"Tomas Nido","NYM","C","365.2","5","0","5","","","-1","","","10","","","","","","5.1","","","","","","","13.2","13755"
"Austin Hedges","CLE","C","743.2","4","3","1","","","4","","","12","","","","","","5.8","","","","","","","13.2","12976"
"Harrison Bader","STL","CF","886.2","0","","","","0","0","15","","15","205","196",".956","93","","","0.9","","10.2","0.3","11.4","15.1","12.9","18030"
"Martin Maldonado","HOU","C","1010.2","-2","-4","2","","","1","","","-2","","","","","","1.3","","","","","","","12.0","6887"
"Kevin Newman","PIT","SS","1074.1","0","","","1","","-2","8","","7","224","174",".777","91","","","","0.4","-1.6","7.5","6.4","7.6","11.9","17696"
"Elias Diaz","COL","C","775.0","-2","3","6","","","1","","","9","","","","","","-0.9","","","","","","","11.7","11680"
"Nicky Lopez","KCR","SS","1233.2","0","","","0","","2","1","","3","302","214",".709","116","","","","2.4","-0.8","3.6","5.2","4.6","11.5","19339"
"Will Smith","LAD","C","1004.2","8","-3","1","","","-1","","","5","","","","","","1.8","","","","","","","11.4","19197"
"Reese McGuire","TOR","C","523.0","3","-1","1","","","0","","","2","","","","","","5.8","","","","","","","11.3","15674"
"Matt Chapman","OAK","3B","1314.2","0","","","1","","-1","9","","10","273","195",".714","56","","","","0.6","1.0","7.1","8.7","8.8","11.0","16505"
"Myles Straw","- - -","CF","1338.0","0","","","","-2","0","6","","4","300","281",".937","105","","","0.4","","6.8","1.4","8.6","8.5","10.9","17620"
"Miguel Rojas","MIA","SS","1073.0","0","","","3","","1","1","","5","197","155",".787","79","","","","1.6","3.1","0.1","4.8","7.3","10.3","7802"
"Manny Pina","MIL","C","452.1","1","-2","2","","","3","","","7","","","","","","3.9","","","","","","","9.8","2829"
