"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","157","696","62","133","131","16","15.9%","25.1%",".375",".340",".311",".425",".686",".458",".463","207","2.1","86.1","0.8","11.5","15640"
"Manny Machado","SDP","150","644","32","100","102","9","9.8%","20.7%",".234",".337",".298",".366",".531",".382",".338","152","3.0","41.9","6.9","7.4","11493"
"Nolan Arenado","STL","148","620","30","73","103","5","8.4%","11.6%",".241",".290",".293",".358",".533",".381",".339","151","-1.6","35.3","13.5","7.3","9777"
"Paul Goldschmidt","STL","151","651","35","106","115","7","12.1%","21.7%",".260",".368",".317",".404",".578",".419",".367","177","3.0","61.6","-15.7","7.1","9218"
"Freddie Freeman","LAD","159","708","21","117","100","13","11.9%","14.4%",".186",".359",".325",".407",".511",".393",".403","157","5.4","52.6","-9.2","7.1","5361"
"Francisco Lindor","NYM","161","706","26","98","107","16","8.4%","18.8%",".179",".301",".270",".339",".449",".342",".331","127","3.3","25.4","15.9","6.8","12916"
"Mookie Betts","LAD","142","639","35","117","82","12","8.6%","16.3%",".264",".272",".269",".340",".533",".373",".344","144","4.3","37.2","4.4","6.6","13611"
"Jose Altuve","HOU","141","604","28","103","57","18","10.9%","14.4%",".233",".315",".300",".387",".533",".397",".354","164","-1.5","41.8","1.6","6.6","5417"
"J.T. Realmuto","PHI","139","562","22","75","84","21","7.3%","21.2%",".202",".318",".276",".342",".478",".354",".351","128","6.6","24.9","18.0","6.5","11739"
"Yordan Alvarez","HOU","135","561","37","95","97","1","13.9%","18.9%",".306",".320",".306",".406",".613",".427",".462","185","-0.6","52.8","-9.2","6.5","19556"
"Dansby Swanson","ATL","162","696","25","99","96","18","7.0%","26.1%",".170",".348",".277",".329",".447",".337",".337","116","3.1","15.7","21.3","6.3","18314"
"Trea Turner","LAD","160","708","21","101","100","27","6.4%","18.5%",".169",".342",".298",".343",".466",".350",".335","128","6.5","29.5","7.1","6.3","16252"
"Jose Ramirez","CLE","157","685","29","91","126","20","10.1%","12.0%",".235",".279",".280",".355",".514",".363",".320","139","6.0","36.0","1.0","6.2","13510"
