"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kevin Gausman","TOR","2","1","0","5","5","31.2","11.65","0.00","0.00",".383","71.0%","41.3%","0.0%","94.7","2.27","","0.51","1.67","1.9","14107"
"Carlos Rodon","SFG","3","1","0","5","5","29.0","12.72","3.10","0.00",".237","80.0%","37.3%","0.0%","96.4","1.55","","1.41","2.77","1.3","16137"
"Michael King","NYY","2","0","1","8","0","17.2","12.74","1.53","0.00",".286","84.6%","42.9%","0.0%","95.7","0.51","","0.78","1.55","1.2","19853"
"Joe Musgrove","SDP","4","0","0","5","5","32.0","9.28","0.56","0.56",".294","73.5%","44.7%","7.4%","92.4","1.97","","2.14","2.47","1.2","12970"
"Kyle Wright","ATL","3","1","0","5","5","31.0","10.74","2.03","0.29",".301","85.4%","53.4%","4.5%","95.4","1.74","","2.10","2.65","1.1","19665"
"Dylan Cease","CHW","3","1","0","5","5","29.0","12.10","3.10","0.31",".250","75.2%","45.3%","3.7%","96.7","2.48","","2.00","2.82","1.1","18525"
"Tylor Megill","NYM","4","1","0","6","6","33.1","9.72","2.16","0.54",".238","77.2%","45.2%","7.1%","95.7","2.43","","2.44","2.81","1.0","21318"
"Pablo Lopez","MIA","3","1","0","5","5","28.0","9.64","1.93","0.32",".261","84.7%","44.3%","4.5%","92.9","1.29","","2.07","2.67","1.0","17085"
"Max Fried","ATL","3","2","0","5","5","30.0","8.10","0.30","0.60",".271","67.5%","52.9%","8.7%","94.7","3.00","","2.47","2.65","1.0","13743"
"Merrill Kelly","ARI","2","1","0","5","5","28.1","8.26","2.22","0.00",".275","86.7%","46.3%","0.0%","92.4","1.27","","2.12","3.41","1.0","11156"
"Tarik Skubal","DET","1","2","0","4","4","20.2","8.71","1.31","0.00",".354","53.8%","50.8%","0.0%","94.5","3.92","","1.60","2.79","0.9","22267"
