Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Spencer Strider","ATL","SP",26.09000015258789,112,3.97745044113909,5.957684330228139,5.6011423436214205,5.3938934307207,-2.15722346483896,18.772947080870388,8.840543632213326,28.299977199570204,"27498"
"Jacob deGrom","TEX","SP",31.25,90,1.98495154721439,6.130374465000006,8.782204308309447,2.59528797011611,-2.15722346483896,17.335594825800985,8.840543632213326,26.862624944500798,"10954"
"Gerrit Cole","NYY","SP",15.869999885559082,135,4.97369988810145,2.636970838802276,5.61155394179589,5.53741165946965,-2.15722346483896,16.602412863330304,8.840543632213326,26.129442982030117,"13125"
"Justin Verlander","NYM","SP",39.18000030517578,119,3.97745044113909,3.160054019163495,7.035435608870059,3.02584265636297,-2.15722346483896,15.041559260696651,8.840543632213326,24.56858937939646,"8700"
"Shohei Ohtani","LAA","SP",8.279999732971191,115,3.97745044113909,4.383923290703422,4.500147708912479,4.31750671510355,-2.15722346483896,15.02180469101958,8.840543632213326,24.548834809719395,"19755"
"Zack Wheeler","PHI","SP",54.79999923706055,130,3.97745044113909,4.3854271235171085,3.888073225211976,3.67167468573326,-2.15722346483896,13.765402010762473,8.840543632213326,23.292432129462288,"10310"
"Max Scherzer","NYM","SP",42.9900016784668,118,2.98120099417674,2.810162251178704,6.068006905027651,3.74343380010773,-2.15722346483896,13.445580485651869,8.840543632213326,22.97261060435168,"3137"
"Kevin Gausman","TOR","SP",58.41999816894531,124,3.97745044113909,3.1605552967680604,4.310826607413785,4.10222937198012,-2.15722346483896,13.393838252462096,8.840543632213326,22.920868371161905,"14107"
"Corbin Burnes","MIL","SP",16.280000686645508,128,3.97745044113909,2.811164806387831,3.7324517047432333,4.31750671510355,-2.15722346483896,12.681350202534745,8.840543632213326,22.208380321234557,"19361"
"Framber Valdez","HOU","SP",76.06999969482422,143,5.9699493350638,5.436104982680607,-1.3277124969974574,4.10222937198012,-2.15722346483896,12.023347727888106,8.840543632213326,21.550377846587917,"17295"
"Clayton Kershaw","LAD","SP",116.51000213623047,114,3.97745044113909,3.1595527415589344,3.9775279768740885,2.81056531323954,-2.15722346483896,11.767873007972689,8.840543632213326,21.2949031266725,"2036"
"Shane McClanahan","TBR","SP",39.88999938964844,121,2.98120099417674,3.8598375551330815,2.742967411298613,3.74343380010773,-2.15722346483896,11.170216295877209,8.840543632213326,20.697246414577016,"21483"
"Luis Castillo","SEA","SP",58.70000076293945,134,3.97745044113909,3.1615578519771823,1.9752714071293678,4.10222937198012,-2.15722346483896,11.0592856073868,8.840543632213326,20.58631572608661,"15689"
"Aaron Nola","PHI","SP",33.560001373291016,139,3.97745044113909,-1.2103347762167347,5.9227969827333755,4.31750671510355,-2.15722346483896,10.850195897920322,8.840543632213326,20.377226016620135,"16149"
"Sandy Alcantara","MIA","SP",29.709999084472656,145,2.98120099417674,2.6379733940114027,2.3863807979034353,3.59991557135878,-2.15722346483896,9.448247292611399,8.840543632213326,18.975277411311207,"18684"
"Zac Gallen","ARI","SP",72.04000091552734,125,2.98120099417674,1.7614895024334587,2.6094014804320813,3.67167468573326,-2.15722346483896,8.866543197936574,8.840543632213326,18.393573316636385,"19291"
"Cristian Javier","HOU","SP",53.209999084472656,116,3.97745044113909,-0.5130576282699671,3.243531553734794,3.45639734260983,-2.15722346483896,8.007098244374784,8.840543632213326,17.534128363074597,"17606"
"Shane Bieber","CLE","SP",53.849998474121094,142,3.97745044113909,0.7138193088973341,1.2633305735922835,3.59991557135878,-2.15722346483896,7.39729243014853,8.840543632213326,16.924322548848345,"19427"
"Tyler Glasnow","TBR","SP",147.77999877929688,99,0.988702100252034,2.2835701275855507,2.810366573358516,2.88232442761401,-2.15722346483896,6.807739763971152,8.840543632213326,16.33476988267096,"14374"
"George Kirby","SEA","SP",93.79000091552734,105,1.98495154721439,2.633963173174907,2.387613191156707,1.08834656825209,-2.15722346483896,5.9376510149591315,8.840543632213326,15.464681133658942,"25436"
"Joe Ryan","MIN","SP",135.64999389648438,114,2.98120099417674,-1.2128411642395485,3.0879100332660503,2.59528797011611,-2.15722346483896,5.294334368480386,8.840543632213326,14.821364487180198,"21390"
"Emmanuel Clase","CLE","RP",28.040000915527344,48,-2.00004624063503,4.552101927034227,1.9556806040336938,-2.78664560796965,5.93413274638426,7.655223428847501,6.264938195254499,14.606648110588488,"21032"
"Yu Darvish","SDP","SP",72.61000061035156,124,2.98120099417674,-2.086317390190118,2.976399692001728,3.2411199994864,-2.15722346483896,4.955179830635785,8.840543632213326,14.482209949335598,"13074"
"Brandon Woodruff","MIL","SP",34.970001220703125,77,-0.00754734671031962,2.456260262357418,3.7673836790264494,0.370755424507327,-2.15722346483896,4.42962855434191,8.840543632213326,13.956658673041723,"16162"
"Logan Webb","SFG","SP",109.51000213623047,135,3.97745044113909,0.8880132764828829,-1.5053896070684105,2.59528797011611,-2.15722346483896,3.7981386158307093,8.840543632213326,13.325168734530521,"17995"
"Julio Urias","LAD","SP",58.310001373291016,108,3.97745044113909,-0.6887554286692034,1.2866185564477655,1.37538302575,-2.15722346483896,3.793473129828694,8.840543632213326,13.320503248528503,"14765"
"Nathan Eovaldi","TEX","SP",239.25,117,1.98495154721439,-0.16316586028517638,1.9869153985571086,2.09297416949477,-2.15722346483896,3.7444517901421253,8.840543632213326,13.271481908841936,"9132"
"Carlos Rodon","NYY","SP",66.12000274658203,68,-0.00754734671031962,1.930670693973385,3.067086836917105,0.08371896700942,-2.15722346483896,2.9167056863506278,8.840543632213326,12.44373580505044,"16137"
"Ryan Helsley","STL","RP",63.90999984741211,46,-2.00004624063503,2.977839609904949,1.3552501117609295,-1.92553623547593,5.00051472201235,5.40802196756727,6.264938195254499,12.359446649308255,"18138"
"David Bednar","PIT","RP",99.75,46,-2.00004624063503,2.977839609904949,1.800059083564948,-2.06905446422488,4.68930871388838,5.398106702498365,6.264938195254499,12.34953138423935,"19569"
"Logan Gilbert","SEA","SP",108,123,2.98120099417674,-1.5617303770152127,0.6745440727472627,2.88232442761401,-2.15722346483896,2.8191156526838412,8.840543632213326,12.346145771383652,"22250"
"Joe Musgrove","SDP","SP",98.4800033569336,117,1.98495154721439,-0.16316586028517638,0.6524884831450526,2.38001062699268,-2.15722346483896,2.6970613322279764,8.840543632213326,12.224091450927787,"12970"
"Pablo Lopez","MIN","SP",163.97999572753906,114,1.98495154721439,-0.33836238307985206,0.419056202441938,2.73880619886506,-2.15722346483896,2.64722810060257,8.840543632213326,12.174258219302382,"17085"
"Devin Williams","MIL","RP",51.29999923706055,45,-2.00004624063503,3.5024266230798546,1.2774393515265576,-1.63849977797802,4.06689669764044,5.208216653633801,6.264938195254499,12.159641335374786,"15816"
"Ryan Pressly","HOU","RP",55.650001525878906,43,-2.00004624063503,1.9281643059505738,2.0114357746658524,-2.57136826484622,5.31172073013632,4.679906305271498,6.264938195254499,11.631330987012484,"7005"
"Josh Hader","SDP","RP",37.959999084472656,45,-2.99629568759738,1.7534690607604615,2.167057295134595,-1.35146332048012,5.00051472201235,4.573282069829909,6.264938195254499,11.524706751570896,"14212"
"Felix Bautista","BAL","RP",69.43000030517578,45,-2.99629568759738,3.5024266230798546,1.2774393515265576,-1.63849977797802,4.37810270576441,4.523173214795419,6.264938195254499,11.474597896536405,"20666"
"Max Fried","ATL","SP",66.18000030517578,79,0.988702100252034,2.2815650171673028,1.2541513686710795,-0.849149519858778,-2.15722346483896,1.5180455013926748,8.840543632213326,11.045075620092486,"13743"
"Raisel Iglesias","ATL","RP",64.20999908447266,45,-2.00004624063503,1.7534690607604615,1.7222483233305765,-2.21257269297384,4.37810270576441,3.6412011562465825,6.264938195254499,10.592625837987569,"17130"
"Luis Severino","NYY","SP",120.55000305175781,101,1.98495154721439,-1.389040242243351,0.7419432348071648,1.66241948324791,-2.15722346483896,0.8430505581871464,8.840543632213326,10.370080676886957,"15890"
"Jhoan Duran","MIN","RP",116.38999938964844,47,-2.99629568759738,4.202210159049437,1.8778698437993193,-1.63849977797802,1.88845464077265,3.333739178046002,6.264938195254499,10.285163859786989,"21029"
"Evan Phillips","LAD","RP",211.72000122070312,45,-2.00004624063503,2.6279478419201583,0.832630379722539,-2.21257269297384,4.06689669764044,3.3148559856742716,6.264938195254499,10.266280667415257,"17734"
"Jordan Romano","TOR","RP",47.040000915527344,45,-2.00004624063503,1.7534690607604615,0.832630379722539,-2.42785003609727,5.00051472201235,3.1587178857630547,6.264938195254499,10.110142567504042,"16122"
"Hunter Greene","CIN","SP",106.02999877929688,115,0.988702100252034,-1.7374281774144544,-0.8375599527357469,4.31750671510355,-2.15722346483896,0.5739972203664185,8.840543632213326,10.101027339066231,"22182"
"Chris Sale","BOS","SP",131.55999755859375,109,1.98495154721439,-2.0878212230038056,-0.4148065705339383,3.09760177073744,-2.15722346483896,0.4227020595751243,8.840543632213326,9.949732178274937,"10603"
"Pete Fairbanks","TBR","RP",136.7899932861328,43,-2.00004624063503,1.9281643059505738,0.677008859253796,-2.21257269297384,4.37810270576441,2.7706569373599144,6.264938195254499,9.7220816191009,"17998"
"Liam Hendriks","CHW","RP",447.55999755859375,38,-2.99629568759738,1.9276630283460134,2.5119999171020324,-2.49960915047174,3.75569068951647,2.6994487968953895,6.264938195254499,9.650873478636376,"3548"
"Freddy Peralta","MIL","SP",144.02000427246094,101,1.98495154721439,-1.389040242243351,-0.5924836806048915,2.09297416949477,-2.15722346483896,-0.06082167097804913,8.840543632213326,9.466208447721764,"18679"
"Alexis Diaz","CIN","RP",121.8499984741211,47,-2.00004624063503,1.5787738155703468,0.0986339565832444,-1.56674066360355,4.37810270576441,2.4887235736794264,6.264938195254499,9.440148255420413,"21132"
"Nestor Cortes","NYY","SP",120.37000274658203,114,1.98495154721439,-2.961798726558942,0.8638651742459568,2.16473328386925,-2.15722346483896,-0.1054721860683148,8.840543632213326,9.421557932631497,"17874"
"Sonny Gray","MIN","SP",209.3300018310547,107,1.98495154721439,-0.16416841549429756,-1.9048550064147376,1.94945594074582,-2.15722346483896,-0.2918393987877953,8.840543632213326,9.235190719912017,"12768"
