Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Nathan Eovaldi","TEX","SP",239.25,80.1,4.24063924890935,2.5056916345743288,3.040987527785118,2.40774617758754,-1.4253234433751,10.769741145481246,6.227606354274376,17.370320472728594,"9132"
"Shane McClanahan","TBR","SP",39.88999938964844,75.2,5.11390661303094,3.0860315195188432,-2.2181413797762244,3.1657297106022,-1.4253234433751,7.7222030200006575,6.227606354274376,14.322782347248006,"21483"
"Framber Valdez","HOU","SP",76.06999969482422,79,2.49410452066618,2.770813878802612,0.849258359670107,2.9383346506978,-1.4253234433751,7.6271879664616105,6.227606354274376,14.22776729370896,"17295"
"Joe Ryan","MIN","SP",135.64999389648438,71.2,3.36737188478777,0.4837042855321659,2.295327121362359,2.63514123749194,-1.4253234433751,7.356221085799138,6.227606354274376,13.956800413046485,"21390"
"Spencer Strider","ATL","SP/RP",26.09000015258789,69.2,2.49410452066618,-0.19803068187602324,1.0350248232237236,5.1364868964403,-1.4253234433751,7.042262115079091,6.227606354274376,13.64284144232644,"27498"
"Marcus Stroman","CHC","SP",261.8399963378906,79,2.49410452066618,1.944909012689079,1.4609168898801819,1.72556099787436,-1.4253234433751,6.200167977734703,6.227606354274376,12.800747304982051,"13431"
"Kevin Gausman","TOR","SP",58.41999816894531,82,1.6208371565446,1.1092255150459136,-0.31858084417231314,5.1364868964403,-1.4253234433751,6.122645280483407,6.227606354274376,12.723224607730755,"14107"
"Zach Eflin","TBR","SP/RP",271.8999938964844,66.2,4.24063924890935,-0.1882520503463894,1.8970347619611068,1.57396429127142,-1.4253234433751,6.098062808420396,6.227606354274376,12.698642135667745,"13774"
"Cristian Javier","HOU","SP/RP",53.209999084472656,69.2,3.36737188478777,0.21492175118074328,1.340854088328761,2.02875441108022,-1.4253234433751,5.526578692002393,6.227606354274376,12.127158019249741,"17606"
"Zac Gallen","ARI","SP",72.04000091552734,78.2,3.36737188478777,0.5985382896486109,-0.6335171976733089,3.24152806390367,-1.4253234433751,5.148597597291638,6.227606354274376,11.749176924538986,"19291"
"Eduardo Rodriguez","DET","SP",317.44000244140625,67.2,0.747569792423015,2.423853815169921,1.6096981157153125,1.64976264457289,-1.4253234433751,5.005560924506042,6.227606354274376,11.606140251753391,"13164"
